cost,prototypes,times,q,K,m,seed,run,partition_entropy,modified_partition_coefficient,entropy,adjusted_rand_score,f1_micro,f1_macro,classification_error,g0 size,g1 size,g2 size,g3 size,g4 size,g5 size,g6 size,g7 size,g8 size,g9 size
"8674,069793352053","[[504, 420], [1433, 1440], [528, 591], [685, 620], [749, 641], [132, 25], [840, 853], [1319, 1254], [1834, 1842], [1360, 1319]]",6,2,10,"1,1",18082091,71,"0,3266024149267272","0,6046501752696007","0,3266024149267272","0,45858878820346916","0,1455","0,14452992452728483","0,8545",167,184,109,267,197,377,167,179,252,101
"8597,068391656996","[[685, 620], [132, 25], [1643, 1650], [1319, 1333], [1433, 1409], [1901, 1898], [1016, 1080], [1842, 1887], [749, 641], [588, 504]]",5,2,10,"1,1",18082092,72,"0,29947349221737013","0,6549571508652188","0,29947349221737013","0,5477557225340492","0,009","0,009487647270357988","0,991",194,243,191,382,161,135,149,171,160,214
"8383,706495374974","[[1689, 1641], [1214, 1277], [1440, 1504], [1834, 1808], [132, 25], [254, 238], [685, 762], [840, 969], [1258, 1254], [588, 524]]",6,2,10,"1,1",18082093,73,"0,24888644007446725","0,7075737948876307","0,24888644007446725","0,6200030835278374","0,017","0,01712116691515459","0,983",247,89,183,250,235,186,245,156,149,260
"8356,619393726125","[[1016, 1080], [528, 462], [685, 762], [1834, 1881], [1433, 1485], [1319, 1254], [504, 420], [254, 238], [840, 853], [132, 25]]",4,2,10,"1,1",18082094,74,"0,23803438233450844","0,7250814619390383","0,23803438233450844","0,6167017680261643","0,0045","0,00481718283620784","0,9955",166,100,209,219,198,249,155,196,161,347
"8391,75276974839","[[1249, 1289], [685, 683], [254, 238], [504, 524], [132, 25], [1834, 1808], [1258, 1319], [1689, 1641], [967, 929], [1433, 1485]]",5,2,10,"1,1",18082095,75,"0,2502672079421033","0,7043471195410461","0,2502672079421033","0,6205478676929258","0,08950000000000001","0,09660538676682708","0,9105",103,269,181,232,228,239,154,237,141,216
"8410,51336173496","[[685, 762], [528, 591], [1792, 1689], [1016, 1080], [1319, 1333], [504, 420], [1433, 1485], [1834, 1808], [238, 254], [132, 25]]",6,2,10,"1,1",18082096,76,"0,2529361132313976","0,7138015574098414","0,2529361132313976","0,6545702422264862","0,102","0,0781647632184035","0,898",207,101,182,157,372,146,205,213,197,220
"8404,08922942776","[[1641, 1689], [588, 524], [1319, 1254], [685, 762], [840, 853], [238, 254], [1693, 1658], [1834, 1881], [1433, 1485], [132, 25]]",6,2,10,"1,1",18082097,77,"0,26883267387849696","0,6823971373097317","0,26883267387849696","0,6371269006579099","0,181","0,17980197945780088","0,819",182,229,228,239,161,192,120,238,207,204
"8462,227459082658","[[840, 929], [1558, 1419], [1887, 1834], [588, 504], [132, 25], [1319, 1254], [1582, 1440], [685, 620], [254, 238], [1306, 1344]]",6,2,10,"1,1",18082098,78,"0,2585530016934201","0,6975263003617028","0,2585530016934201","0,5217094531385028","0,012500000000000002","0,01247295417585858","0,9875",142,151,187,238,383,175,142,293,183,106
"8544,173855049963","[[840, 853], [1319, 1254], [685, 620], [685, 620], [588, 524], [1641, 1792], [132, 25], [1958, 1894], [1440, 1582], [1990, 1972]]",8,2,10,"1,1",18082099,79,"0,31324785249548825","0,616456895007527","0,31324785249548825","0,5000998364017822","0,1695","0,14704576126404506","0,8305",169,240,0,348,239,215,247,196,162,184
"8289,198858457383","[[1319, 1254], [1440, 1582], [1792, 1641], [1016, 1080], [132, 25], [840, 853], [588, 504], [238, 254], [685, 762], [1881, 1858]]",7,2,10,"1,1",18082100,80,"0,224974960056544","0,7376127201973549","0,224974960056544","0,6827165089892021","0,095","0,08916517048912122","0,905",233,164,174,158,227,160,262,193,198,231
